word,global,noise-aware,self,top,bot
outbreak,153.624,153.831,186.328,0.000,0.000
area,83.408,83.691,109.024,0.000,0.000
death,174.670,173.759,216.283,0.000,0.000
transmission,303.091,299.738,354.256,0.000,0.000
cause,110.409,111.741,183.685,0.000,0.000
significantly,153.133,153.113,171.282,0.000,0.000
example,75.707,76.784,100.265,0.000,0.000
respectively,81.826,80.484,78.514,0.000,0.000
described,114.671,112.759,98.107,0.000,0.000
work,85.484,85.184,117.870,0.000,0.000
lower,88.869,86.691,186.744,0.000,0.000
public,124.791,123.280,214.638,0.000,0.000
measure,158.582,155.570,210.312,0.000,0.000
concentration,256.757,253.144,208.323,0.000,0.000
therapy,184.637,182.687,238.620,0.000,0.000
interaction,124.005,125.576,115.383,0.000,0.000
people,123.575,122.089,246.630,0.000,0.000
since,137.349,134.193,182.933,0.000,0.000
given,73.554,74.055,116.819,0.000,0.000
tissue,145.811,146.309,167.379,0.000,0.000
possible,70.773,70.804,125.800,0.000,0.000
receptor,198.291,198.884,193.444,0.000,0.000
finding,209.732,210.456,229.590,0.000,0.000
medical,68.357,68.771,137.494,0.000,0.000
early,107.715,107.961,201.034,0.000,0.000
target,121.993,121.425,146.752,0.000,0.000
outcome,188.609,186.249,242.472,0.000,0.000
report,109.471,109.507,160.947,0.000,0.000
common,93.823,95.098,145.184,0.000,0.000
binding,228.145,229.033,218.617,0.000,0.000
author,176.228,178.567,118.848,0.000,0.000
set,112.081,112.328,152.518,0.000,0.000
related,80.666,78.940,149.678,0.000,0.000
mechanism,208.025,208.398,213.823,0.000,0.000
form,79.940,80.126,111.305,0.000,0.000
mortality,230.140,228.881,219.400,0.000,0.000
infectious,146.067,147.863,170.833,0.000,0.000
large,73.721,73.379,168.515,0.000,0.000
dna,206.931,209.916,143.003,0.000,0.000
even,71.734,71.408,131.739,0.000,0.000
social,133.429,130.941,218.407,0.000,0.000
considered,53.732,53.860,92.294,0.000,0.000
per,128.611,127.992,204.091,0.000,0.000
detection,194.736,194.748,214.940,0.000,0.000
serum,187.350,189.269,187.619,0.000,0.000
negative,141.209,140.608,192.567,0.000,0.000
likely,102.788,101.767,181.968,0.000,0.000
pathogen,180.482,181.011,182.101,0.000,0.000
contact,173.628,175.237,235.400,0.000,0.000
detected,186.871,184.579,216.584,0.000,0.000
range,100.445,98.680,167.636,0.000,0.000
obtained,121.867,120.330,162.680,0.000,0.000
small,77.111,76.697,147.848,0.000,0.000
included,83.977,82.723,117.703,0.000,0.000
known,103.701,102.011,150.180,0.000,0.000
complex,103.339,100.982,142.223,0.000,0.000
might,87.408,85.711,232.167,0.000,0.000
strategy,99.639,98.685,152.113,0.000,0.000
presence,157.924,157.013,194.333,0.000,0.000
evidence,156.507,152.110,223.455,0.000,0.000
support,101.281,100.237,159.399,0.000,0.000
diagnosis,185.423,185.227,233.828,0.000,0.000
impact,107.130,105.962,207.207,0.000,0.000
week,108.703,108.443,184.586,0.000,0.000
testing,152.075,150.361,205.861,0.000,0.000
100,89.476,87.759,63.291,0.000,0.000
membrane,222.909,224.503,214.942,0.000,0.000
genome,217.261,218.407,208.267,0.000,0.000
provide,79.238,78.223,199.162,0.000,0.000
developed,76.520,75.795,119.494,0.000,0.000
made,64.118,64.096,152.242,0.000,0.000
epidemic,165.319,164.294,206.553,0.000,0.000
production,142.828,141.604,119.902,0.000,0.000
order,112.036,111.526,153.444,0.000,0.000
surface,174.469,176.051,194.163,0.000,0.000
review,132.007,132.783,199.613,0.000,0.000
month,121.567,118.147,198.469,0.000,0.000
multiple,59.078,58.659,104.261,0.000,0.000
size,105.615,104.366,166.313,0.000,0.000
effective,94.425,92.433,162.498,0.000,0.000
standard,134.536,134.125,187.057,0.000,0.000
culture,263.187,264.192,187.722,0.000,0.000
point,120.096,121.479,182.859,0.000,0.000
according,175.499,176.484,94.443,0.000,0.000
agent,233.818,235.601,168.187,0.000,0.000
whether,151.179,150.765,238.875,0.000,0.000
variable,158.702,158.407,169.668,0.000,0.000
cancer,158.766,160.728,207.125,0.000,0.000
recent,126.462,125.087,181.188,0.000,0.000
der,100.859,100.708,97.059,0.000,0.000
parameter,177.023,177.527,178.163,0.000,0.000
network,145.262,142.321,119.230,0.000,0.000
family,100.019,99.757,143.492,0.000,0.000
major,86.061,85.092,167.411,0.000,0.000
domain,169.474,167.625,156.846,0.000,0.000
include,87.144,86.887,175.183,0.000,0.000
second,75.142,76.622,128.434,0.000,0.000
event,117.805,115.782,165.081,0.000,0.000
see,132.712,131.873,184.032,0.000,0.000
current,74.824,75.326,88.103,0.000,0.000
replication,264.692,265.349,264.617,0.000,0.000
