word,global,noise-aware,self,top,bot
pratt,29.296,29.221,29.424,0.000,0.000
flattery,7.591,7.607,7.721,0.000,0.000
andrus,27.034,27.280,26.978,0.000,0.000
josef,22.713,22.854,22.706,0.000,0.000
publicized,58.889,58.793,60.910,0.000,0.000
prosecutors,90.155,90.707,91.636,0.000,0.000
purest,15.045,15.087,15.325,0.000,0.000
astrology,7.778,7.801,8.516,0.000,0.000
oddity,4.950,4.910,5.252,0.000,0.000
romeo,46.025,46.194,44.833,0.000,0.000
inlaid,20.945,20.693,20.174,0.000,0.000
marlow,20.076,20.140,19.968,0.000,0.000
undoing,9.417,9.533,9.403,0.000,0.000
processions,16.979,16.947,16.908,0.000,0.000
blight,36.272,36.403,35.917,0.000,0.000
realizes,29.217,29.170,29.661,0.000,0.000
amending,10.722,10.671,12.163,0.000,0.000
aspired,12.713,12.763,12.359,0.000,0.000
flapped,22.134,22.089,21.058,0.000,0.000
roamed,33.880,33.847,33.752,0.000,0.000
drowsy,11.064,11.044,10.958,0.000,0.000
drooping,17.246,17.179,16.997,0.000,0.000
macabre,11.311,11.272,11.051,0.000,0.000
bengal,15.981,16.286,16.080,0.000,0.000
firstyear,29.544,29.917,30.965,0.000,0.000
hike,75.424,75.636,74.891,0.000,0.000
furtive,14.292,14.296,13.843,0.000,0.000
1695,20.998,21.155,22.633,0.000,0.000
midwives,15.317,15.410,17.535,0.000,0.000
dismissively,5.304,5.295,5.059,0.000,0.000
notch,24.214,24.069,23.543,0.000,0.000
div,15.447,15.590,14.961,0.000,0.000
parallelism,8.349,8.306,8.566,0.000,0.000
unclean,6.101,6.175,6.062,0.000,0.000
upfront,30.200,30.136,31.125,0.000,0.000
potentials,20.761,20.708,21.541,0.000,0.000
wainwright,11.584,11.517,11.496,0.000,0.000
shane,20.342,20.222,19.729,0.000,0.000
411,22.869,22.862,24.263,0.000,0.000
1730,4.881,4.912,5.572,0.000,0.000
retreats,31.327,31.349,31.378,0.000,0.000
refinements,7.779,7.820,8.346,0.000,0.000
undermines,33.614,33.537,34.095,0.000,0.000
dynamism,18.362,18.388,18.744,0.000,0.000
cfc,10.274,10.279,11.218,0.000,0.000
metalwork,6.558,6.558,6.244,0.000,0.000
sadistic,16.250,16.197,15.863,0.000,0.000
canny,10.387,10.380,10.190,0.000,0.000
oldstyle,9.824,9.855,9.923,0.000,0.000
unfairness,9.882,9.851,9.717,0.000,0.000
davenport,20.810,20.713,20.499,0.000,0.000
fudge,25.792,25.795,24.932,0.000,0.000
naturalists,12.355,12.397,13.043,0.000,0.000
mubarak,66.151,66.226,69.448,0.000,0.000
truncated,7.916,7.920,8.200,0.000,0.000
breakin,17.170,17.241,16.645,0.000,0.000
goldie,8.414,8.361,8.712,0.000,0.000
shevardnadze,19.806,19.681,20.715,0.000,0.000
plaques,36.944,36.796,36.923,0.000,0.000
mayors,48.353,48.629,49.228,0.000,0.000
obstructing,8.503,8.464,8.797,0.000,0.000
magnificently,7.152,7.138,6.996,0.000,0.000
individualist,8.694,8.693,8.624,0.000,0.000
neonatal,17.860,17.823,19.746,0.000,0.000
thermometer,79.953,80.485,80.500,0.000,0.000
steiner,39.316,39.429,39.974,0.000,0.000
hunts,42.402,42.463,42.278,0.000,0.000
aldridge,9.443,9.439,8.773,0.000,0.000
automotive,47.080,47.149,45.943,0.000,0.000
steeped,21.076,21.184,21.214,0.000,0.000
resided,22.571,22.642,22.741,0.000,0.000
indiana,47.924,49.831,51.144,0.000,0.000
