word,global,noise-aware,self,top,bot
strike,54.455,54.313,57.837,0.000,0.000
pop,25.342,25.341,23.297,0.000,0.000
sudden,10.155,10.110,11.233,0.000,0.000
competitive,23.721,23.305,24.283,0.000,0.000
ideal,21.226,20.873,22.689,0.000,0.000
bills,45.420,45.178,43.596,0.000,0.000
managers,21.159,21.006,22.705,0.000,0.000
electronic,17.267,17.177,16.099,0.000,0.000
iraqi,39.690,41.112,50.053,0.000,0.000
usa,105.179,104.996,102.621,0.000,0.000
roof,24.102,24.355,23.285,0.000,0.000
client,20.015,19.299,21.197,0.000,0.000
establish,15.943,15.882,16.898,0.000,0.000
ears,24.660,24.443,29.453,0.000,0.000
diversity,39.749,39.026,43.903,0.000,0.000
voices,19.766,20.194,24.068,0.000,0.000
follows,24.518,24.786,27.456,0.000,0.000
encourage,12.094,11.627,17.366,0.000,0.000
shadow,48.313,48.485,51.044,0.000,0.000
afford,22.100,22.030,20.307,0.000,0.000
express,26.287,26.331,28.713,0.000,0.000
talks,41.920,40.997,48.828,0.000,0.000
schedule,60.143,60.263,60.909,0.000,0.000
chose,16.737,16.068,17.539,0.000,0.000
lesson,32.536,32.149,35.559,0.000,0.000
diet,37.071,36.593,44.133,0.000,0.000
transportation,64.262,64.181,62.619,0.000,0.000
collected,18.541,18.352,18.138,0.000,0.000
cry,20.712,20.737,20.416,0.000,0.000
category,30.235,29.457,30.370,0.000,0.000
promote,13.370,13.193,18.297,0.000,0.000
dan,29.374,29.457,28.494,0.000,0.000
dear,31.504,30.761,34.262,0.000,0.000
independence,31.070,30.785,38.756,0.000,0.000
replaced,15.649,15.591,15.710,0.000,0.000
waves,37.866,37.811,40.102,0.000,0.000
illinois,58.048,59.452,55.894,0.000,0.000
lessons,31.136,30.307,31.606,0.000,0.000
volume,19.094,19.016,18.002,0.000,0.000
persons,45.010,44.336,44.380,0.000,0.000
acts,26.883,26.821,31.117,0.000,0.000
injury,29.842,29.942,31.127,0.000,0.000
coaches,111.711,112.109,107.750,0.000,0.000
prepare,17.366,16.976,17.905,0.000,0.000
articles,40.738,40.698,37.867,0.000,0.000
facts,23.261,22.736,26.124,0.000,0.000
oct,123.816,122.554,111.675,0.000,0.000
revenue,64.651,63.804,60.658,0.000,0.000
darkness,16.674,16.401,15.840,0.000,0.000
situations,14.995,14.893,20.268,0.000,0.000
fundamental,13.824,13.667,19.382,0.000,0.000
conduct,22.838,23.064,25.511,0.000,0.000
proved,17.190,17.201,20.059,0.000,0.000
films,34.227,34.838,29.591,0.000,0.000
gallery,38.975,37.547,35.246,0.000,0.000
jeff,27.002,27.049,25.302,0.000,0.000
courts,24.376,24.325,28.374,0.000,0.000
breast,38.580,38.089,41.982,0.000,0.000
regard,13.836,13.720,15.022,0.000,0.000
hat,25.964,26.189,25.264,0.000,0.000
apple,29.187,29.813,25.134,0.000,0.000
asia,37.427,37.977,39.053,0.000,0.000
sarah,16.172,16.141,17.032,0.000,0.000
repeated,12.593,12.517,14.645,0.000,0.000
measured,20.867,20.660,22.964,0.000,0.000
facility,64.623,64.699,63.957,0.000,0.000
jersey,92.412,92.614,90.063,0.000,0.000
philosophy,15.800,15.664,23.242,0.000,0.000
indians,54.800,55.319,56.243,0.000,0.000
crucial,12.412,12.247,18.564,0.000,0.000
occasionally,11.612,11.557,13.324,0.000,0.000
severe,17.200,16.833,28.139,0.000,0.000
sleeping,20.334,19.821,23.173,0.000,0.000
proud,10.701,10.660,12.781,0.000,0.000
participate,26.749,26.043,33.487,0.000,0.000
corn,57.616,57.869,55.996,0.000,0.000
unfortunately,7.883,8.103,9.438,0.000,0.000
categories,30.170,29.635,35.290,0.000,0.000
harder,13.531,13.177,23.578,0.000,0.000
throat,29.724,29.182,33.112,0.000,0.000
employment,18.507,18.035,23.894,0.000,0.000
surely,15.027,14.212,19.448,0.000,0.000
kevin,27.064,26.757,23.117,0.000,0.000
ordinary,20.452,20.151,23.446,0.000,0.000
singing,15.307,15.452,14.226,0.000,0.000
tony,24.605,24.054,23.218,0.000,0.000
canadian,44.974,45.345,42.304,0.000,0.000
hits,30.717,31.597,29.389,0.000,0.000
claimed,17.556,17.468,18.857,0.000,0.000
1982,24.668,23.705,21.657,0.000,0.000
transition,27.880,27.495,29.312,0.000,0.000
teaspoon,141.842,142.436,143.198,0.000,0.000
command,24.678,24.585,27.482,0.000,0.000
quietly,12.084,11.967,13.363,0.000,0.000
taylor,34.176,34.330,32.367,0.000,0.000
calories,67.873,67.164,70.727,0.000,0.000
absolutely,15.786,15.576,16.113,0.000,0.000
counter,30.536,30.896,30.435,0.000,0.000
detail,34.584,34.201,37.617,0.000,0.000
pleasure,17.076,17.337,22.272,0.000,0.000
intense,13.747,13.334,19.014,0.000,0.000
stated,29.801,29.096,36.006,0.000,0.000
loud,15.209,15.413,17.402,0.000,0.000
absence,13.949,13.786,15.640,0.000,0.000
emerged,11.246,10.884,12.953,0.000,0.000
examined,28.137,28.175,28.640,0.000,0.000
fort,103.862,103.358,103.914,0.000,0.000
sector,44.696,43.650,47.950,0.000,0.000
whenever,14.004,13.814,17.323,0.000,0.000
theme,20.753,20.150,21.997,0.000,0.000
trained,18.010,17.954,18.757,0.000,0.000
bone,39.949,40.182,42.294,0.000,0.000
israeli,39.499,39.669,54.160,0.000,0.000
stocks,85.242,85.231,82.265,0.000,0.000
therapy,22.091,21.831,26.345,0.000,0.000
directed,20.339,20.375,21.415,0.000,0.000
dealing,21.780,21.573,26.371,0.000,0.000
tape,41.556,41.249,38.792,0.000,0.000
loose,16.445,16.728,16.494,0.000,0.000
acting,18.950,18.600,21.796,0.000,0.000
promised,16.520,15.727,21.011,0.000,0.000
raising,34.964,35.109,35.424,0.000,0.000
weak,17.147,17.011,22.256,0.000,0.000
fox,50.571,51.490,50.012,0.000,0.000
kennedy,38.601,39.367,41.597,0.000,0.000
comparison,15.439,15.066,17.566,0.000,0.000
shares,64.838,64.205,65.077,0.000,0.000
hoping,17.558,16.903,23.957,0.000,0.000
solar,44.433,45.159,44.823,0.000,0.000
heavily,33.984,33.621,41.524,0.000,0.000
writes,23.402,23.368,23.554,0.000,0.000
principle,21.987,21.303,26.043,0.000,0.000
link,21.124,20.657,24.620,0.000,0.000
holy,19.810,19.867,23.699,0.000,0.000
jews,37.603,36.791,38.350,0.000,0.000
chapter,123.134,122.999,126.107,0.000,0.000
lewis,31.501,31.633,30.262,0.000,0.000
philadelphia,49.432,50.855,49.002,0.000,0.000
suffering,18.425,18.164,23.993,0.000,0.000
illegal,32.945,33.173,36.421,0.000,0.000
hired,57.433,57.314,57.026,0.000,0.000
conservation,45.079,44.513,45.909,0.000,0.000
stir,48.925,50.576,47.344,0.000,0.000
wedding,31.929,31.368,30.299,0.000,0.000
replied,25.578,24.426,27.911,0.000,0.000
dec,121.841,120.714,112.948,0.000,0.000
bathroom,37.684,37.831,37.107,0.000,0.000
jerry,32.937,32.825,32.723,0.000,0.000
print,20.122,20.380,19.041,0.000,0.000
pulls,55.759,56.682,56.386,0.000,0.000
likes,19.890,19.082,21.179,0.000,0.000
terrible,12.616,12.326,14.132,0.000,0.000
angle,47.456,48.611,52.003,0.000,0.000
ray,16.382,16.387,17.109,0.000,0.000
examine,30.129,29.648,33.948,0.000,0.000
ski,60.636,61.078,52.456,0.000,0.000
risks,36.464,35.430,37.258,0.000,0.000
