word,global,noise-aware,self,top,bot
like,4.119,4.458,7.449,0.000,0.000
words,17.913,18.013,17.218,0.000,0.000
part,10.827,10.803,12.691,0.000,0.000
formula,13.407,13.984,11.186,0.000,0.000
computing,12.794,12.818,13.227,0.000,0.000
respectively,7.166,7.582,9.789,0.000,0.000
simple,3.322,3.493,3.895,0.000,0.000
approximation,27.133,27.929,22.125,0.000,0.000
lower,19.588,19.713,21.229,0.000,0.000
terms,13.659,12.598,16.808,0.000,0.000
pages,18.697,18.329,17.686,0.000,0.000
edge,33.599,33.710,35.244,0.000,0.000
nodes,27.466,28.032,28.481,0.000,0.000
natural,6.869,7.210,5.643,0.000,0.000
mathematical,6.768,6.924,5.746,0.000,0.000
condition,13.697,13.351,15.984,0.000,0.000
context,4.976,4.961,4.910,0.000,0.000
known,3.369,3.497,4.081,0.000,0.000
measure,6.502,6.632,7.332,0.000,0.000
research,4.120,4.236,3.733,0.000,0.000
need,1.504,1.482,1.998,0.000,0.000
operator,7.740,7.437,9.214,0.000,0.000
represented,4.339,4.085,5.324,0.000,0.000
cases,4.258,4.534,5.036,0.000,0.000
polynomial,34.320,34.253,35.913,0.000,0.000
soft,12.467,12.618,12.799,0.000,0.000
applications,1.673,1.667,1.827,0.000,0.000
interval,16.000,15.670,16.592,0.000,0.000
whether,4.119,4.355,4.156,0.000,0.000
equivalent,6.221,7.162,7.380,0.000,0.000
journal,5.526,5.132,7.377,0.000,0.000
binary,13.343,13.429,13.728,0.000,0.000
according,4.241,4.291,4.817,0.000,0.000
suppose,4.773,5.054,4.616,0.000,0.000
springer,12.461,12.016,11.472,0.000,0.000
level,11.766,12.172,11.445,0.000,0.000
real,11.881,12.015,10.456,0.000,0.000
total,21.896,22.600,16.742,0.000,0.000
pair,7.720,7.795,8.374,0.000,0.000
could,0.730,0.889,0.878,0.000,0.000
methods,5.285,6.303,4.718,0.000,0.000
cannot,2.056,2.473,1.941,0.000,0.000
another,0.951,0.976,0.875,0.000,0.000
without,3.674,3.865,3.425,0.000,0.000
holds,7.819,8.005,9.321,0.000,0.000
consistent,11.898,12.149,12.529,0.000,0.000
objects,7.315,7.610,7.092,0.000,0.000
classes,19.703,19.738,20.721,0.000,0.000
single,3.640,3.616,3.977,0.000,0.000
applied,3.651,3.829,3.046,0.000,0.000
take,1.600,1.542,1.948,0.000,0.000
important,1.909,1.989,1.819,0.000,0.000
conceptual,26.306,26.468,25.761,0.000,0.000
say,3.983,4.679,3.545,0.000,0.000
similar,2.517,2.785,2.371,0.000,0.000
several,3.984,4.212,2.135,0.000,0.000
initial,18.747,16.721,18.648,0.000,0.000
either,2.104,2.184,2.178,0.000,0.000
find,2.955,3.152,2.907,0.000,0.000
property,5.197,5.270,5.875,0.000,0.000
random,8.715,8.891,9.893,0.000,0.000
normal,35.372,33.513,33.588,0.000,0.000
contains,7.975,7.914,7.941,0.000,0.000
denote,6.966,7.710,8.035,0.000,0.000
university,3.062,3.184,2.278,0.000,0.000
combination,11.382,11.417,13.056,0.000,0.000
fig,50.081,51.104,51.123,0.000,0.000
answer,14.679,14.896,14.724,0.000,0.000
modeling,9.951,10.389,10.632,0.000,0.000
large,6.624,6.736,7.618,0.000,0.000
society,19.954,20.205,19.722,0.000,0.000
hand,9.810,9.388,12.647,0.000,0.000
