word,global,noise-aware,self,top,bot
dependent,13.289,13.752,11.015,0.000,0.000
expressions,6.929,6.975,6.722,0.000,0.000
fundamental,3.503,3.326,3.019,0.000,0.000
take,1.600,1.719,2.158,0.000,0.000
write,3.793,3.744,3.292,0.000,0.000
last,5.431,5.637,6.307,0.000,0.000
respectively,7.166,6.714,6.767,0.000,0.000
line,6.676,6.015,6.102,0.000,0.000
description,4.952,4.267,4.251,0.000,0.000
another,0.951,0.899,0.738,0.000,0.000
dynamical,9.246,8.758,9.208,0.000,0.000
important,1.909,1.867,1.797,0.000,0.000
give,1.969,1.763,2.166,0.000,0.000
cannot,2.056,2.103,1.530,0.000,0.000
approximation,27.133,26.229,21.258,0.000,0.000
factor,5.830,5.944,6.776,0.000,0.000
get,4.258,4.133,6.103,0.000,0.000
effects,12.149,12.817,14.471,0.000,0.000
group,17.225,17.299,14.961,0.000,0.000
times,4.992,5.344,5.520,0.000,0.000
expansion,7.172,7.411,6.748,0.000,0.000
lett,10.983,11.218,11.289,0.000,0.000
mathematical,6.768,6.333,6.955,0.000,0.000
introduced,2.917,2.943,2.127,0.000,0.000
fixed,10.293,11.364,12.883,0.000,0.000
normal,35.372,31.206,34.995,0.000,0.000
continuous,10.285,9.673,9.523,0.000,0.000
could,0.730,0.609,1.145,0.000,0.000
calculation,4.844,4.656,4.658,0.000,0.000
variable,11.355,16.940,20.349,0.000,0.000
volume,15.937,16.035,17.531,0.000,0.000
formulation,8.209,8.358,6.758,0.000,0.000
parameters,4.051,4.615,5.510,0.000,0.000
invariance,10.270,10.293,9.996,0.000,0.000
finally,1.823,1.742,1.949,0.000,0.000
metric,9.757,10.400,10.630,0.000,0.000
quantity,3.326,3.350,3.396,0.000,0.000
uniform,9.338,9.405,9.183,0.000,0.000
average,15.277,17.254,18.834,0.000,0.000
single,3.640,3.630,3.725,0.000,0.000
valid,1.031,1.104,1.396,0.000,0.000
scale,38.371,42.577,36.202,0.000,0.000
notation,2.392,2.517,4.402,0.000,0.000
einstein,9.661,9.412,8.973,0.000,0.000
behavior,4.221,4.361,4.204,0.000,0.000
states,13.053,12.114,16.633,0.000,0.000
taking,6.011,6.100,4.752,0.000,0.000
circular,11.486,11.419,11.260,0.000,0.000
type,12.806,12.465,16.694,0.000,0.000
difference,1.107,1.012,0.918,0.000,0.000
usual,1.056,1.059,1.125,0.000,0.000
discussion,1.437,1.417,2.495,0.000,0.000
additional,7.406,7.490,8.530,0.000,0.000
frames,16.294,16.702,16.561,0.000,0.000
positive,4.946,4.767,9.194,0.000,0.000
sum,3.444,3.631,3.700,0.000,0.000
introduce,2.939,2.825,3.715,0.000,0.000
information,14.075,10.845,8.897,0.000,0.000
extended,4.425,4.353,4.310,0.000,0.000
nature,0.816,0.929,1.681,0.000,0.000
leads,1.163,1.088,1.453,0.000,0.000
derive,1.505,1.450,2.155,0.000,0.000
sources,10.238,10.543,13.152,0.000,0.000
operator,7.740,7.009,10.295,0.000,0.000
explicitly,2.716,2.917,2.994,0.000,0.000
many,5.095,5.059,4.389,0.000,0.000
depends,1.994,2.108,1.794,0.000,0.000
corresponds,12.011,12.112,12.028,0.000,0.000
situation,4.908,5.480,9.991,0.000,0.000
integration,16.974,17.429,17.433,0.000,0.000
presented,2.650,2.964,3.106,0.000,0.000
yields,2.543,2.450,3.274,0.000,0.000
always,2.371,2.441,2.306,0.000,0.000
