word,global,noise-aware,self,top,bot
node,35.361,35.867,32.592,0.000,0.000
lower,27.284,28.556,27.947,0.000,0.000
terms,24.391,24.854,23.484,0.000,0.000
pages,27.530,26.455,44.024,0.000,0.000
edge,36.296,36.192,35.826,0.000,0.000
natural,7.846,8.354,8.594,0.000,0.000
mathematical,8.534,8.769,9.848,0.000,0.000
condition,15.412,15.346,15.778,0.000,0.000
context,4.815,4.895,5.022,0.000,0.000
known,5.686,5.744,5.296,0.000,0.000
measure,13.253,13.537,13.852,0.000,0.000
research,7.893,7.859,8.430,0.000,0.000
need,1.816,1.990,2.148,0.000,0.000
operator,17.303,18.384,16.672,0.000,0.000
represented,4.266,4.531,2.980,0.000,0.000
cases,4.204,4.228,6.497,0.000,0.000
polynomial,33.757,33.665,34.187,0.000,0.000
applications,7.116,7.251,7.527,0.000,0.000
interval,21.392,21.478,21.198,0.000,0.000
whether,5.059,5.037,5.161,0.000,0.000
equivalent,6.712,6.825,6.472,0.000,0.000
journal,31.361,30.770,40.164,0.000,0.000
according,3.272,3.416,2.946,0.000,0.000
suppose,11.479,11.456,11.323,0.000,0.000
springer,14.992,15.541,24.732,0.000,0.000
level,15.832,16.456,18.670,0.000,0.000
real,11.281,11.473,10.898,0.000,0.000
total,23.724,23.033,21.869,0.000,0.000
pair,10.996,11.212,10.044,0.000,0.000
could,1.359,1.385,2.307,0.000,0.000
methods,6.192,6.406,8.022,0.000,0.000
cannot,3.826,3.872,3.928,0.000,0.000
another,1.675,1.778,2.125,0.000,0.000
without,4.874,4.640,4.661,0.000,0.000
holds,9.131,9.239,9.184,0.000,0.000
consistent,15.946,15.612,12.912,0.000,0.000
objects,12.433,12.615,12.384,0.000,0.000
classes,18.596,18.892,19.298,0.000,0.000
single,24.722,24.581,23.795,0.000,0.000
applied,3.926,3.772,3.615,0.000,0.000
take,4.503,4.905,4.289,0.000,0.000
important,5.608,5.607,7.182,0.000,0.000
say,4.073,4.117,4.118,0.000,0.000
cluster,28.494,29.443,32.933,0.000,0.000
similar,6.469,6.198,8.264,0.000,0.000
several,3.657,3.549,3.966,0.000,0.000
initial,11.798,11.359,8.202,0.000,0.000
either,3.624,3.782,4.773,0.000,0.000
find,2.866,2.443,2.643,0.000,0.000
property,8.351,8.389,8.343,0.000,0.000
random,15.371,15.731,12.754,0.000,0.000
normal,14.586,14.634,14.826,0.000,0.000
contains,6.686,6.311,7.215,0.000,0.000
denote,7.934,8.021,8.381,0.000,0.000
candidates,33.840,34.584,33.048,0.000,0.000
optimal,17.863,17.716,18.026,0.000,0.000
university,14.513,14.339,19.784,0.000,0.000
combination,12.352,13.065,11.767,0.000,0.000
fig,49.104,48.936,52.015,0.000,0.000
answer,13.057,13.024,13.632,0.000,0.000
modeling,10.294,10.201,10.420,0.000,0.000
large,12.149,11.869,13.728,0.000,0.000
hand,10.538,10.817,9.471,0.000,0.000
linear,11.986,11.202,15.818,0.000,0.000
solutions,9.712,9.431,8.987,0.000,0.000
partial,15.835,15.748,11.009,0.000,0.000
proposed,6.550,6.443,7.030,0.000,0.000
choice,7.607,7.610,7.974,0.000,0.000
average,18.259,16.944,17.433,0.000,0.000
conditions,5.932,5.877,6.413,0.000,0.000
design,28.597,28.734,28.615,0.000,0.000
prove,9.401,9.335,9.295,0.000,0.000
make,3.296,3.453,3.146,0.000,0.000
making,10.574,10.693,10.154,0.000,0.000
product,5.334,5.335,3.674,0.000,0.000
next,3.911,3.961,4.763,0.000,0.000
obtain,5.650,5.878,4.153,0.000,0.000
rate,29.050,30.531,28.529,0.000,0.000
pattern,6.047,6.016,6.061,0.000,0.000
international,18.387,18.899,23.193,0.000,0.000
equation,23.122,23.334,20.794,0.000,0.000
described,6.611,6.792,7.121,0.000,0.000
individual,4.850,4.997,4.894,0.000,0.000
stable,18.554,18.171,18.228,0.000,0.000
subset,12.115,12.008,12.047,0.000,0.000
study,9.764,10.084,10.900,0.000,0.000
change,6.201,6.331,6.120,0.000,0.000
qualitative,20.916,21.109,20.613,0.000,0.000
press,12.125,12.535,23.814,0.000,0.000
description,4.266,4.099,5.626,0.000,0.000
degree,10.561,10.488,10.616,0.000,0.000
approaches,4.395,4.473,4.870,0.000,0.000
positive,6.357,6.324,6.280,0.000,0.000
denoted,6.542,6.680,6.336,0.000,0.000
specific,5.085,5.449,4.647,0.000,0.000
evidence,4.700,4.663,4.967,0.000,0.000
relations,8.714,8.246,6.493,0.000,0.000
fusion,12.834,11.601,15.955,0.000,0.000
multi,10.664,10.531,12.837,0.000,0.000
length,18.512,18.333,16.345,0.000,0.000
probabilities,20.787,20.129,16.812,0.000,0.000
within,10.887,10.746,11.046,0.000,0.000
necessary,2.227,2.274,2.268,0.000,0.000
situation,9.156,9.103,8.580,0.000,0.000
environment,13.785,13.862,14.758,0.000,0.000
input,12.279,12.271,12.378,0.000,0.000
distribution,10.898,10.612,9.018,0.000,0.000
presented,8.165,8.074,11.668,0.000,0.000
estimates,37.836,38.210,42.919,0.000,0.000
implies,7.357,7.127,8.339,0.000,0.000
complex,8.472,8.887,8.600,0.000,0.000
test,4.937,4.911,5.796,0.000,0.000
upper,25.571,26.152,24.572,0.000,0.000
numbers,11.907,11.604,10.717,0.000,0.000
shown,2.820,2.740,2.895,0.000,0.000
measures,12.842,12.821,12.539,0.000,0.000
points,12.524,12.495,12.845,0.000,0.000
examples,4.683,4.722,4.683,0.000,0.000
meaning,22.737,22.705,22.521,0.000,0.000
main,4.439,4.291,4.818,0.000,0.000
sense,4.545,4.605,4.772,0.000,0.000
argument,12.789,13.613,11.558,0.000,0.000
related,7.478,7.767,7.695,0.000,0.000
free,13.588,13.189,13.032,0.000,0.000
equal,2.392,2.073,1.992,0.000,0.000
local,5.574,5.766,5.278,0.000,0.000
proceedings,20.782,20.839,22.836,0.000,0.000
minimal,10.811,10.613,11.113,0.000,0.000
arbitrary,5.730,6.065,5.875,0.000,0.000
computational,4.299,4.390,4.083,0.000,0.000
corresponds,8.597,8.532,8.212,0.000,0.000
processes,7.420,7.721,6.846,0.000,0.000
introduce,3.929,3.945,3.018,0.000,0.000
question,5.031,5.046,5.115,0.000,0.000
conference,18.152,18.109,21.368,0.000,0.000
term,22.512,22.826,17.305,0.000,0.000
der,23.434,24.349,28.709,0.000,0.000
indeed,2.612,2.645,2.679,0.000,0.000
addition,3.391,3.557,3.599,0.000,0.000
stage,16.207,16.514,14.330,0.000,0.000
estimate,22.080,22.391,25.908,0.000,0.000
associated,9.376,9.934,8.793,0.000,0.000
efficient,8.049,8.214,8.052,0.000,0.000
computation,3.528,3.641,3.327,0.000,0.000
finally,1.041,1.069,1.141,0.000,0.000
bound,58.007,73.490,46.176,0.000,0.000
instead,2.085,2.143,2.121,0.000,0.000
found,6.768,6.895,7.507,0.000,0.000
interpretation,14.398,14.723,15.284,0.000,0.000
distance,12.954,12.831,10.813,0.000,0.000
standard,8.993,8.813,11.958,0.000,0.000
solved,13.070,13.762,13.558,0.000,0.000
universal,8.808,8.946,9.490,0.000,0.000
due,15.398,15.236,17.357,0.000,0.000
still,2.388,2.405,2.632,0.000,0.000
previous,8.275,8.476,10.085,0.000,0.000
know,4.119,4.388,4.267,0.000,0.000
less,4.337,4.269,5.091,0.000,0.000
structures,3.208,3.492,3.437,0.000,0.000
types,3.487,3.656,3.427,0.000,0.000
path,13.572,13.586,12.631,0.000,0.000
experiments,13.274,12.102,13.336,0.000,0.000
effect,20.774,20.794,23.587,0.000,0.000
always,3.293,3.221,3.402,0.000,0.000
much,4.533,4.394,5.681,0.000,0.000
mathematics,3.307,3.430,4.332,0.000,0.000
application,3.491,3.428,3.694,0.000,0.000
represent,1.943,2.101,1.972,0.000,0.000
object,6.684,6.834,6.568,0.000,0.000
zero,4.780,5.052,4.629,0.000,0.000
satisfies,12.240,12.283,12.403,0.000,0.000
view,2.717,2.857,3.216,0.000,0.000
weights,8.160,8.198,8.035,0.000,0.000
provide,2.917,2.916,3.816,0.000,0.000
give,3.335,3.118,3.608,0.000,0.000
theories,2.864,2.960,3.314,0.000,0.000
right,13.580,14.188,12.159,0.000,0.000
four,14.886,15.069,15.964,0.000,0.000
theoretical,18.372,18.237,16.540,0.000,0.000
rather,3.365,3.352,3.110,0.000,0.000
optimization,12.519,12.507,14.848,0.000,0.000
compute,4.979,5.033,4.870,0.000,0.000
measurement,26.482,24.777,31.449,0.000,0.000
parameter,9.443,9.282,8.696,0.000,0.000
introduced,4.472,4.409,4.757,0.000,0.000
special,5.522,5.400,5.659,0.000,0.000
often,1.872,1.827,1.971,0.000,0.000
shows,4.867,4.849,5.235,0.000,0.000
joint,7.354,7.320,7.358,0.000,0.000
parameters,12.075,11.658,15.492,0.000,0.000
scale,25.677,26.782,24.794,0.000,0.000
formal,4.002,4.092,4.394,0.000,0.000
hard,13.597,13.767,13.060,0.000,0.000
certain,2.725,2.883,3.253,0.000,0.000
better,6.898,6.933,7.467,0.000,0.000
consists,2.491,2.561,2.347,0.000,0.000
control,15.592,16.114,15.419,0.000,0.000
original,1.809,1.759,1.629,0.000,0.000
assumption,3.214,3.182,3.551,0.000,0.000
otherwise,6.049,6.078,6.098,0.000,0.000
notation,6.801,7.004,6.788,0.000,0.000
proc,13.904,14.099,20.696,0.000,0.000
alternative,6.254,6.468,6.885,0.000,0.000
weight,9.617,9.643,9.882,0.000,0.000
classification,8.613,8.678,8.704,0.000,0.000
dynamic,21.796,21.323,20.520,0.000,0.000
independent,5.922,5.733,6.399,0.000,0.000
http,7.843,7.412,17.035,0.000,0.000
get,3.544,3.787,2.826,0.000,0.000
vol,4.328,4.460,10.184,0.000,0.000
taking,8.185,8.638,8.916,0.000,0.000
extended,2.239,2.262,1.615,0.000,0.000
vectors,8.570,8.630,4.991,0.000,0.000
various,3.658,3.540,4.618,0.000,0.000
might,2.655,2.625,3.061,0.000,0.000
among,3.318,3.251,3.681,0.000,0.000
exactly,1.979,1.999,1.887,0.000,0.000
whose,3.246,3.260,3.633,0.000,0.000
good,11.477,11.765,10.521,0.000,0.000
candidate,25.075,25.515,24.555,0.000,0.000
fixed,8.251,8.158,7.958,0.000,0.000
formulas,11.795,12.423,8.916,0.000,0.000
already,3.350,3.326,2.666,0.000,0.000
sub,5.796,5.595,5.581,0.000,0.000
multiple,7.946,7.922,7.064,0.000,0.000
containing,16.395,16.890,15.687,0.000,0.000
exist,7.609,7.509,7.873,0.000,0.000
allows,3.467,3.363,3.756,0.000,0.000
transformation,5.727,5.438,5.758,0.000,0.000
introduction,2.800,2.846,2.590,0.000,0.000
extensions,3.112,3.151,3.240,0.000,0.000
power,6.222,6.181,7.310,0.000,0.000
steps,3.207,3.283,3.210,0.000,0.000
similarly,3.841,3.934,3.407,0.000,0.000
able,2.109,2.173,2.021,0.000,0.000
uncertainty,54.256,53.489,50.415,0.000,0.000
components,25.168,25.016,23.555,0.000,0.000
base,4.968,4.878,4.916,0.000,0.000
common,2.544,2.559,2.260,0.000,0.000
negative,5.065,4.986,5.040,0.000,0.000
quantitative,13.237,13.220,13.557,0.000,0.000
generalized,7.213,7.071,9.427,0.000,0.000
describe,3.796,3.914,3.452,0.000,0.000
construct,3.309,3.479,3.784,0.000,0.000
account,20.301,21.656,21.662,0.000,0.000
