cls_name,choice_method,r,n_pos,n_neg,n_landmarks,accuracy,precision,recall,f1
cosine_03,random,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,random,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,random,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,random,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,random,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,random,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,random,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,random,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,random,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,random,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,far,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,far,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,far,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,far,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,far,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,far,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,far,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,far,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,far,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,far,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,close,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,close,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,close,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,close,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,close,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,close,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,close,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,close,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,close,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_03,close,1.0,500,500,26064,0.5058823529411764,0.7,0.5645161290322581,0.625
cosine_05,random,1.0,500,500,26064,0.3411764705882353,0.6875,0.1774193548387097,0.28205128205128205
cosine_05,random,1.0,500,500,26064,0.3411764705882353,0.6875,0.1774193548387097,0.28205128205128205
cosine_05,random,1.0,500,500,26064,0.3411764705882353,0.6875,0.1774193548387097,0.28205128205128205
cosine_05,random,1.0,500,500,26064,0.3411764705882353,0.6875,0.1774193548387097,0.28205128205128205
cosine_05,random,1.0,500,500,26064,0.3411764705882353,0.6875,0.1774193548387097,0.28205128205128205
cosine_05,random,1.0,500,500,26064,0.3411764705882353,0.6875,0.1774193548387097,0.28205128205128205
cosine_05,random,1.0,500,500,26064,0.3411764705882353,0.6875,0.1774193548387097,0.28205128205128205
cosine_05,random,1.0,500,500,26064,0.3411764705882353,0.6875,0.1774193548387097,0.28205128205128205
cosine_05,random,1.0,500,500,26064,0.3411764705882353,0.6875,0.1774193548387097,0.28205128205128205
cosine_05,random,1.0,500,500,26064,0.3411764705882353,0.6875,0.1774193548387097,0.28205128205128205
cosine_05,far,1.0,500,500,26064,0.3411764705882353,0.6875,0.1774193548387097,0.28205128205128205
cosine_05,far,1.0,500,500,26064,0.3411764705882353,0.6875,0.1774193548387097,0.28205128205128205
cosine_05,far,1.0,500,500,26064,0.3411764705882353,0.6875,0.1774193548387097,0.28205128205128205
cosine_05,far,1.0,500,500,26064,0.3411764705882353,0.6875,0.1774193548387097,0.28205128205128205
cosine_05,far,1.0,500,500,26064,0.3411764705882353,0.6875,0.1774193548387097,0.28205128205128205
cosine_05,far,1.0,500,500,26064,0.3411764705882353,0.6875,0.1774193548387097,0.28205128205128205
cosine_05,far,1.0,500,500,26064,0.3411764705882353,0.6875,0.1774193548387097,0.28205128205128205
