cls_name,r,n_pos,n_neg,n_landmarks,accuracy,precision,recall,f1
cosine_03,1,200,200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,1200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,1200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,1200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,1200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,1200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,1200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,1200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,1200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,1200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,1200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,1700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,1700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,1700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,1700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,1700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,1700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,1700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,1700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,1700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,1700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,2200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,2200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,2200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,2200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,2200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,2200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,2200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,2200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,2200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,2200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,2700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,2700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,2700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,2700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,2700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,2700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,2700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,2700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,2700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,2700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,3200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,3200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,3200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,3200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,3200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,3200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,3200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,3200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,3200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,3200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,3700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,3700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,3700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,3700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,3700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,3700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,3700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,3700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,3700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,3700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,4200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,4200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,4200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,4200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,4200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,4200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,4200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,4200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,4200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,4200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,4700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,4700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,4700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,4700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,4700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,4700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,4700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,4700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,4700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,200,4700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,700,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,1200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,1200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,1200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,1200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,1200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,1200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,1200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,1200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,1200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
cosine_03,1,700,1200,26064,0.5294117647058824,0.72,0.5806451612903226,0.6428571428571428
