language,cls_name,r,n_pos,n_neg,n_landmarks,accuracy,precision,recall,f1
english,cosine_001,1,200,200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,200,8065,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,200,7383,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,200,6251,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,200,5442,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,200,4900,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,200,4504,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,200,4237,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,200,4030,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,200,3863,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3200,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3700,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
