language,cls_name,choice_method,r,n_pos,n_neg,n_landmarks,accuracy,precision,recall,f1
german,cosine_025,random,1.0,500,500,8787,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,random,1.0,500,500,9902,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,random,1.0,500,500,10960,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,random,1.0,500,500,11871,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,random,1.0,500,500,12605,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,random,1.0,500,500,13254,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,random,1.0,500,500,13820,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,random,1.0,500,500,14295,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,random,1.0,500,500,14777,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,random,1.0,500,500,14968,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,far,1.0,500,500,25644,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,far,1.0,500,500,24866,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,far,1.0,500,500,23445,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,far,1.0,500,500,21776,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,far,1.0,500,500,20209,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,far,1.0,500,500,18663,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,far,1.0,500,500,17267,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,far,1.0,500,500,16149,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,far,1.0,500,500,15250,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,far,1.0,500,500,14486,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,close,1.0,500,500,16339,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,close,1.0,500,500,14901,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,close,1.0,500,500,13687,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,close,1.0,500,500,12721,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,close,1.0,500,500,12048,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,close,1.0,500,500,11551,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,close,1.0,500,500,11243,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,close,1.0,500,500,11142,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,close,1.0,500,500,11053,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_025,close,1.0,500,500,11014,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_050,random,1.0,500,500,120,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_050,random,1.0,500,500,493,0.3541666666666667,0.3541666666666667,1.0,0.5230769230769231
german,cosine_050,random,1.0,500,500,1555,0.4166666666666667,0.37777777777777777,1.0,0.5483870967741935
german,cosine_050,close,1.0,500,500,25850,0.6666666666666666,0.5172413793103449,0.8823529411764706,0.6521739130434783
german,cosine_050,close,1.0,500,500,25392,0.6666666666666666,0.5172413793103449,0.8823529411764706,0.6521739130434783
german,cosine_050,close,1.0,500,500,24209,0.6666666666666666,0.5172413793103449,0.8823529411764706,0.6521739130434783
german,cosine_050,close,1.0,500,500,22249,0.6666666666666666,0.5172413793103449,0.8823529411764706,0.6521739130434783
german,cosine_050,close,1.0,500,500,20345,0.6666666666666666,0.5172413793103449,0.8823529411764706,0.6521739130434783
german,cosine_050,close,1.0,500,500,19095,0.6458333333333334,0.5,0.8823529411764706,0.6382978723404256
german,cosine_050,close,1.0,500,500,18055,0.6666666666666666,0.5172413793103449,0.8823529411764706,0.6521739130434783
german,cosine_050,close,1.0,500,500,17155,0.6666666666666666,0.5172413793103449,0.8823529411764706,0.6521739130434783
german,cosine_050,close,1.0,500,500,16386,0.6666666666666666,0.5172413793103449,0.8823529411764706,0.6521739130434783
german,cosine_050,close,1.0,500,500,15702,0.6666666666666666,0.5172413793103449,0.8823529411764706,0.6521739130434783
german,cosine_075,random,1.0,500,500,25905,0.6875,0.625,0.29411764705882354,0.4
german,cosine_075,random,1.0,500,500,25905,0.6875,0.625,0.29411764705882354,0.4
german,cosine_075,random,1.0,500,500,25898,0.6875,0.625,0.29411764705882354,0.4
german,cosine_075,random,1.0,500,500,25676,0.6875,0.625,0.29411764705882354,0.4
german,cosine_075,random,1.0,500,500,24991,0.7083333333333334,0.7142857142857143,0.29411764705882354,0.4166666666666667
german,cosine_075,random,1.0,500,500,23836,0.7083333333333334,0.7142857142857143,0.29411764705882354,0.4166666666666667
german,cosine_075,random,1.0,500,500,22601,0.7083333333333334,0.7142857142857143,0.29411764705882354,0.4166666666666667
german,cosine_075,random,1.0,500,500,21396,0.7083333333333334,0.7142857142857143,0.29411764705882354,0.4166666666666667
german,cosine_075,random,1.0,500,500,20325,0.7083333333333334,0.7142857142857143,0.29411764705882354,0.4166666666666667
german,cosine_075,random,1.0,500,500,19338,0.7291666666666666,0.75,0.35294117647058826,0.48
german,cosine_075,far,1.0,500,500,25905,0.6875,0.625,0.29411764705882354,0.4
german,cosine_075,far,1.0,500,500,25905,0.6875,0.625,0.29411764705882354,0.4
german,cosine_075,far,1.0,500,500,25905,0.6875,0.625,0.29411764705882354,0.4
german,cosine_075,far,1.0,500,500,25901,0.6875,0.625,0.29411764705882354,0.4
german,cosine_075,far,1.0,500,500,25806,0.6875,0.625,0.29411764705882354,0.4
german,cosine_075,far,1.0,500,500,25116,0.6875,0.625,0.29411764705882354,0.4
german,cosine_075,far,1.0,500,500,23558,0.7083333333333334,0.7142857142857143,0.29411764705882354,0.4166666666666667
german,cosine_075,far,1.0,500,500,21584,0.7083333333333334,0.7142857142857143,0.29411764705882354,0.4166666666666667
german,cosine_075,far,1.0,500,500,19574,0.7083333333333334,0.7142857142857143,0.29411764705882354,0.4166666666666667
german,cosine_075,far,1.0,500,500,17813,0.7083333333333334,0.7142857142857143,0.29411764705882354,0.4166666666666667
german,cosine_075,close,1.0,500,500,25904,0.6875,0.625,0.29411764705882354,0.4
german,cosine_075,close,1.0,500,500,25855,0.7083333333333334,0.7142857142857143,0.29411764705882354,0.4166666666666667
german,cosine_075,close,1.0,500,500,25171,0.7083333333333334,0.7142857142857143,0.29411764705882354,0.4166666666666667
german,cosine_075,close,1.0,500,500,23827,0.7083333333333334,0.7142857142857143,0.29411764705882354,0.4166666666666667
german,cosine_075,close,1.0,500,500,22178,0.7083333333333334,0.7142857142857143,0.29411764705882354,0.4166666666666667
german,cosine_075,close,1.0,500,500,20260,0.7083333333333334,0.7142857142857143,0.29411764705882354,0.4166666666666667
german,cosine_075,close,1.0,500,500,18516,0.7083333333333334,0.7142857142857143,0.29411764705882354,0.4166666666666667
german,cosine_075,close,1.0,500,500,16994,0.7083333333333334,0.7142857142857143,0.29411764705882354,0.4166666666666667
german,cosine_075,close,1.0,500,500,15868,0.7083333333333334,0.7142857142857143,0.29411764705882354,0.4166666666666667
german,cosine_075,close,1.0,500,500,14940,0.7083333333333334,0.7142857142857143,0.29411764705882354,0.4166666666666667
german,cosine_090,random,1.0,500,500,25267,0.6458333333333334,0.5,0.058823529411764705,0.10526315789473684
german,cosine_090,random,1.0,500,500,24381,0.6458333333333334,0.5,0.058823529411764705,0.10526315789473684
german,cosine_090,random,1.0,500,500,23117,0.6458333333333334,0.5,0.058823529411764705,0.10526315789473684
german,cosine_090,random,1.0,500,500,21632,0.6458333333333334,0.5,0.058823529411764705,0.10526315789473684
german,cosine_090,random,1.0,500,500,20234,0.6458333333333334,0.5,0.058823529411764705,0.10526315789473684
german,cosine_090,random,1.0,500,500,18937,0.6458333333333334,0.5,0.058823529411764705,0.10526315789473684
german,cosine_090,random,1.0,500,500,17765,0.6458333333333334,0.5,0.058823529411764705,0.10526315789473684
german,cosine_090,random,1.0,500,500,16830,0.6458333333333334,0.5,0.058823529411764705,0.10526315789473684
german,cosine_090,random,1.0,500,500,15996,0.6458333333333334,0.5,0.058823529411764705,0.10526315789473684
german,cosine_090,random,1.0,500,500,15216,0.6458333333333334,0.5,0.058823529411764705,0.10526315789473684
german,cosine_090,far,1.0,500,500,14041,0.625,0.3333333333333333,0.058823529411764705,0.1
german,cosine_090,far,1.0,500,500,13312,0.625,0.3333333333333333,0.058823529411764705,0.1
german,cosine_090,far,1.0,500,500,12377,0.625,0.3333333333333333,0.058823529411764705,0.1
german,cosine_090,far,1.0,500,500,12135,0.625,0.3333333333333333,0.058823529411764705,0.1
german,cosine_090,far,1.0,500,500,11741,0.625,0.3333333333333333,0.058823529411764705,0.1
german,cosine_090,far,1.0,500,500,11482,0.625,0.3333333333333333,0.058823529411764705,0.1
german,cosine_090,far,1.0,500,500,11416,0.625,0.3333333333333333,0.058823529411764705,0.1
german,cosine_090,far,1.0,500,500,11480,0.625,0.3333333333333333,0.058823529411764705,0.1
german,cosine_090,far,1.0,500,500,11535,0.625,0.3333333333333333,0.058823529411764705,0.1
german,cosine_090,far,1.0,500,500,11620,0.625,0.3333333333333333,0.058823529411764705,0.1
german,cosine_090,close,1.0,500,500,5101,0.625,0.3333333333333333,0.058823529411764705,0.1
german,cosine_090,close,1.0,500,500,5543,0.625,0.3333333333333333,0.058823529411764705,0.1
german,cosine_090,close,1.0,500,500,5779,0.6458333333333334,0.5,0.11764705882352941,0.19047619047619047
german,cosine_090,close,1.0,500,500,6027,0.625,0.3333333333333333,0.058823529411764705,0.1
german,cosine_090,close,1.0,500,500,6557,0.6666666666666666,0.6666666666666666,0.11764705882352941,0.2
german,cosine_090,close,1.0,500,500,7113,0.625,0.3333333333333333,0.058823529411764705,0.1
german,cosine_090,close,1.0,500,500,7605,0.6458333333333334,0.5,0.11764705882352941,0.19047619047619047
german,cosine_090,close,1.0,500,500,8052,0.6666666666666666,0.6666666666666666,0.11764705882352941,0.2
german,cosine_090,close,1.0,500,500,8418,0.6666666666666666,0.6666666666666666,0.11764705882352941,0.2
german,cosine_090,close,1.0,500,500,8836,0.6875,0.75,0.17647058823529413,0.2857142857142857
latin,cosine_001,random,1.0,500,500,6092,0.65,0.65,1.0,0.787878787878788
latin,cosine_001,random,1.0,500,500,5396,0.65,0.65,1.0,0.787878787878788
latin,cosine_001,random,1.0,500,500,4859,0.65,0.65,1.0,0.787878787878788
latin,cosine_001,random,1.0,500,500,4455,0.65,0.65,1.0,0.787878787878788
latin,cosine_001,random,1.0,500,500,4175,0.65,0.65,1.0,0.787878787878788
latin,cosine_001,random,1.0,500,500,4003,0.65,0.65,1.0,0.787878787878788
latin,cosine_001,random,1.0,500,500,3878,0.65,0.65,1.0,0.787878787878788
latin,cosine_001,random,1.0,500,500,3786,0.65,0.65,1.0,0.787878787878788
latin,cosine_001,random,1.0,500,500,3703,0.65,0.65,1.0,0.787878787878788
latin,cosine_001,random,1.0,500,500,3645,0.65,0.65,1.0,0.787878787878788
latin,cosine_001,close,1.0,500,500,803,0.65,0.65,1.0,0.787878787878788
latin,cosine_001,close,1.0,500,500,1551,0.65,0.65,1.0,0.787878787878788
latin,cosine_001,close,1.0,500,500,2104,0.65,0.65,1.0,0.787878787878788
latin,cosine_001,close,1.0,500,500,2534,0.65,0.65,1.0,0.787878787878788
latin,cosine_001,close,1.0,500,500,2769,0.65,0.65,1.0,0.787878787878788
latin,cosine_001,close,1.0,500,500,2974,0.65,0.65,1.0,0.787878787878788
latin,cosine_001,close,1.0,500,500,3108,0.65,0.65,1.0,0.787878787878788
latin,cosine_001,close,1.0,500,500,3205,0.65,0.65,1.0,0.787878787878788
latin,cosine_001,close,1.0,500,500,3276,0.65,0.65,1.0,0.787878787878788
latin,cosine_001,close,1.0,500,500,3335,0.65,0.65,1.0,0.787878787878788
latin,cosine_025,random,1.0,500,500,1472,0.675,0.6666666666666666,1.0,0.8
latin,cosine_025,random,1.0,500,500,1848,0.675,0.6666666666666666,1.0,0.8
latin,cosine_025,random,1.0,500,500,2170,0.675,0.6666666666666666,1.0,0.8
latin,cosine_025,random,1.0,500,500,2365,0.675,0.6666666666666666,1.0,0.8
latin,cosine_025,random,1.0,500,500,2526,0.675,0.6666666666666666,1.0,0.8
latin,cosine_025,random,1.0,500,500,2627,0.675,0.6666666666666666,1.0,0.8
latin,cosine_025,random,1.0,500,500,2692,0.675,0.6666666666666666,1.0,0.8
latin,cosine_025,random,1.0,500,500,2752,0.675,0.6666666666666666,1.0,0.8
latin,cosine_025,random,1.0,500,500,2809,0.675,0.6666666666666666,1.0,0.8
latin,cosine_025,random,1.0,500,500,2870,0.675,0.6666666666666666,1.0,0.8
latin,cosine_025,far,1.0,500,500,3026,0.675,0.6666666666666666,1.0,0.8
latin,cosine_025,far,1.0,500,500,3369,0.675,0.6666666666666666,1.0,0.8
latin,cosine_025,far,1.0,500,500,3761,0.675,0.6666666666666666,1.0,0.8
latin,cosine_025,far,1.0,500,500,4061,0.675,0.6666666666666666,1.0,0.8
latin,cosine_025,far,1.0,500,500,4335,0.675,0.6666666666666666,1.0,0.8
latin,cosine_025,far,1.0,500,500,4491,0.675,0.6666666666666666,1.0,0.8
latin,cosine_025,far,1.0,500,500,4602,0.675,0.6666666666666666,1.0,0.8
latin,cosine_025,far,1.0,500,500,4683,0.675,0.6666666666666666,1.0,0.8
latin,cosine_025,far,1.0,500,500,4719,0.675,0.6666666666666666,1.0,0.8
latin,cosine_025,far,1.0,500,500,4731,0.675,0.6666666666666666,1.0,0.8
latin,cosine_025,close,1.0,500,500,7689,0.675,0.6666666666666666,1.0,0.8
latin,cosine_025,close,1.0,500,500,7689,0.675,0.6666666666666666,1.0,0.8
latin,cosine_025,close,1.0,500,500,7689,0.675,0.6666666666666666,1.0,0.8
latin,cosine_025,close,1.0,500,500,7689,0.675,0.6666666666666666,1.0,0.8
latin,cosine_025,close,1.0,500,500,7688,0.675,0.6666666666666666,1.0,0.8
latin,cosine_025,close,1.0,500,500,7539,0.675,0.6666666666666666,1.0,0.8
latin,cosine_025,close,1.0,500,500,7014,0.675,0.6666666666666666,1.0,0.8
latin,cosine_025,close,1.0,500,500,6233,0.65,0.65,1.0,0.787878787878788
latin,cosine_025,close,1.0,500,500,5509,0.65,0.65,1.0,0.787878787878788
latin,cosine_025,close,1.0,500,500,4897,0.65,0.65,1.0,0.787878787878788
latin,cosine_050,random,1.0,500,500,7688,0.5,0.7142857142857143,0.38461538461538464,0.5
